"firstcity","CBSA_Code","Export_Plan","Global_Trade_and_Investment_Plan"
"Atlanta","M12060","http://www.atlantaexportportal.com/wp-content/uploads/2015/06/Atlanta-Metro-Export-Initiative_TP-web.pdf","http://www.atlantafdiportal.com/wp-content/uploads/2016/05/16-57-FDI-FINAL_WEB-2.pdf"
"Charleston","M16700","https://www.charlestonchamber.net/wp-content/uploads/sites/6/2014/01/export-plan.pdf",
"Chicago","M16980",,
"Columbus","M18140","http://columbusregion.com/Columbus/media/Columbus/PDFs/Brochures/Columbus-Global-Connect-MEI-Part-1.pdf","http://www.brookings.edu/~/media/Multimedia/Interactives/2013/GCXMedia/TradeAndInvestmentPlans/Columbus.pdf"
"Des Moines","M19780","http://www.desmoinesmetro.com/documents/filelibrary/pdfs/economicdevelopment/2013_GreaterDesMoinesRegionalExport_4CBBB7FAAFAB3.pdf","https://www.desmoinesmetro.com/documents/filelibrary/pdfs/economicdevelopment/2016_GlobalDSM_TradeandInvestmentSt_D89DBC5F81F8B.pdf
"
"Greenville-Spartanburg","M24860","http://www.upstatescalliance.com/sites/default/files/Upstate_Regional_Export_Plan_small.pdf","https://issuu.com/missemelie/docs/ua160001-fdi_plan_v4_issuu
"
"Indianapolis","M26900","http://www.indychamber.com/files/1414/2429/3865/Metro_Indy_GCI_Export_Plan_low_resolution.pdf",
"Jacksonville","M27260","https://www.dropbox.com/s/nhv5s38gwpnls8g/Metro%20JaxNortheast%20Florida%20Export%20Plan.pdf?dl=0",
"Los Angeles","M31100","http://larexc.org/wp-content/uploads/2013/01/LACITYP_020109.pdf",
"Louisville-Lexington","M31140","http://services.louisvilleky.gov/media/beam/Export_Plan_Web.pdf",
"Milwaukee","M33340",,"http://mke7.com/~/media/Documents/Global%20MKE%20report%20WEB%20Version.ashx
"
"Minneapolis-St. Paul","M33460","http://www.brookings.edu/~/media/projects/state%20metro%20innovation/export_initiative_minneapolis.pdf",
"Phoenix","M38060","http://www.mpexa.com/wp-content/uploads/2015/05/export-plan-email-web.pdf",
"Portland","M38900","http://s3.amazonaws.com/gpi-assets/uploaded_media/8/original.pdf","http://s3.amazonaws.com/gpi-assets/uploaded_media/102/original.pdf"
"Sacramento","M40900","http://norcalwtc.org/wp-content/uploads/2014/10/California-Capital-Region-Export-Plan_012015.pdf",
"San Antonio","M41700","http://insa.us/wp-content/uploads/2013/10/inSA_ExportsPlan_Digital.pdf","http://insa.us/wp-content/uploads/2014/12/inSA_2014_Trade_Investment_Guide_Main_Copy_Cover_Low_Final.pdf"
"San Diego","M41740","http://www.sandiegobusiness.org/sites/default/files/Export%20plan%20FINAL.pdf","http://www.brookings.edu/~/media/Multimedia/Interactives/2013/GCXMedia/TradeAndInvestmentPlans/SanDiego.pdf"
"Syracuse","M45060","http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/export_initiative_syracuse.pdf",
"Tampa Bay","M45300",,
"Wichita","M48620","http://www.kansasglobal.org/user/file/Wichita%20Regional%20Export%20Plan%20-%20FINAL.compressed.pdf ",
"Seattle","M42660",,"http://www.edc-seaking.org/uploads/pdf/greater-seattle-global-trade-investment-plan-v1.0.pdf"
"Fresno","M23420",,
"Houston","M26420","http://www.houston.org/assets/pdf/economy/Greater%20Houston%20Export%20Plan_web.pdf
",
"Philadelphia","M37980","http://economyleague.org/uploads/files/457558126732983622-greater-philadelphia-export-plan-full-report.pdf
",
"Salt Lake","M41620","http://www.slco.org/uploadedFiles/depot/fRD/fEconDev/slco-regional-export-plan-4.7.2016.pdf
",
"St. Louis","M41180",,
"Kansas City","M28140","https://view.flipdocs.com/?ID=10014359_768877",
"Baltimore","M12580",,
