"Metro","Export_Plan_Executive_Summary","Export_Plan","Policy_Memo","Implementation_Plan","Survey_Analysis","Market_Assessment_Executive_Summary","Market_Assessment","Year_1_Summary"
"Los Angeles","http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_los_angeles.PDF","http://larexc.org/wp-content/uploads/2013/01/LACITYP_020109.pdf",,,,,,
"Minneapolis","http://www.brookings.edu/~/media/projects/state%20metro%20innovation/02_export_overview_minneapolis.pdf","http://www.brookings.edu/~/media/projects/state%20metro%20innovation/export_initiative_minneapolis.pdf",,,,,,
"Portland","http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_portland.PDF","http://s3.amazonaws.com/gpi-assets/uploaded_media/8/original.pdf","http://s3.amazonaws.com/gpi-assets/uploaded_media/10/original.pdf","http://s3.amazonaws.com/gpi-assets/uploaded_media/44/original.pdf","http://s3.amazonaws.com/gpi-assets/uploaded_media/5/original.pdf",,,"http://s3.amazonaws.com/gpi-assets/uploaded_media/33/original.pdf"
"Syracuse","http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_syracuse.pdf","http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/export_initiative_syracuse.pdf","http://www.centerstateceo.com/External/WCPages/WCWebContent/WebContentPage.aspx?ContentID=1030",,,,,
"Charleston","http://web.charlestonchamber.net/External/WCPages/WCWebContent/WebContentPage.aspx?ContentID=27159",,,,,,,
"Chicago",,,,,,,,
"Columbus",,,,,,,,
"Louisville",,,,,,,,
"Des Moines",,"http://www.desmoinesmetro.com/pdfs/ec-dev/2013_Greater-Des-Moines-Regional-Export-Plan.pdf",,,,,,
"San Antonio",,"http://insa.us/wp-content/uploads/2013/10/inSA_ExportsPlan_Digital.pdf",,,,,,
"San Diego",,,,,,"http://www.sdwtc.org/Resources/Documents/Brookings/brookings%20ex3cutive%20summary%20may2013.pdf","http://www.sandiegobusiness.org/sites/default/files/Market%20Assesment.pdf",
"Tampa",,,,,,,,
"Atlanta",,,,,,,,
"Jacksonville",,,,,,,,
"Greenville",,,,,,,,
"Indianapolis",,,,,,,,
"Phoenix",,,,,,,,
"Wichita",,,,,,,,
"Milwaukee",,,,,,,,
"Sacramento",,,,,,,,
